类别,姓名,编号,班级,电话,邮箱
部门,高一年级组,D001,,13810010001,dept001@authority.example.test
部门,高二年级组,D002,,13810010002,dept002@authority.example.test
部门,教务处,D003,,13810010003,dept003@authority.example.test
部门,德育处,D004,,13810010004,dept004@authority.example.test
部门,信息中心,D005,,13810010005,dept005@authority.example.test
部门,总务处,D006,,13810010006,dept006@authority.example.test
部门,招生办,D007,,13810010007,dept007@authority.example.test
部门,课程中心,D008,,13810010008,dept008@authority.example.test
部门,教师发展中心,D009,,13810010009,dept009@authority.example.test
部门,心理中心,D010,,13810010010,dept010@authority.example.test
教师,教师001,T001,,13820010001,t001@authority.example.test
教师,教师002,T002,,13820010002,t002@authority.example.test
教师,教师003,T003,,13820010003,t003@authority.example.test
教师,教师004,T004,,13820010004,t004@authority.example.test
教师,教师005,T005,,13820010005,t005@authority.example.test
教师,教师006,T006,,13820010006,t006@authority.example.test
教师,教师007,T007,,13820010007,t007@authority.example.test
教师,教师008,T008,,13820010008,t008@authority.example.test
教师,教师009,T009,,13820010009,t009@authority.example.test
教师,教师010,T010,,13820010010,t010@authority.example.test
教师,教师011,T011,,13820010011,t011@authority.example.test
教师,教师012,T012,,13820010012,t012@authority.example.test
教师,教师013,T013,,13820010013,t013@authority.example.test
教师,教师014,T014,,13820010014,t014@authority.example.test
教师,教师015,T015,,13820010015,t015@authority.example.test
教师,教师016,T016,,13820010016,t016@authority.example.test
教师,教师017,T017,,13820010017,t017@authority.example.test
教师,教师018,T018,,13820010018,t018@authority.example.test
教师,教师019,T019,,13820010019,t019@authority.example.test
教师,教师020,T020,,13820010020,t020@authority.example.test
学生,学生001,S001,高一1班,13830010001,s001@authority.example.test
学生,学生002,S002,高一1班,13830010002,s002@authority.example.test
学生,学生003,S003,高一1班,13830010003,s003@authority.example.test
学生,学生004,S004,高一1班,13830010004,s004@authority.example.test
学生,学生005,S005,高一1班,13830010005,s005@authority.example.test
学生,学生006,S006,高一2班,13830010006,s006@authority.example.test
学生,学生007,S007,高一2班,13830010007,s007@authority.example.test
学生,学生008,S008,高一2班,13830010008,s008@authority.example.test
学生,学生009,S009,高一2班,13830010009,s009@authority.example.test
学生,学生010,S010,高一2班,13830010010,s010@authority.example.test
学生,学生011,S011,高一3班,13830010011,s011@authority.example.test
学生,学生012,S012,高一3班,13830010012,s012@authority.example.test
学生,学生013,S013,高一3班,13830010013,s013@authority.example.test
学生,学生014,S014,高一3班,13830010014,s014@authority.example.test
学生,学生015,S015,高一3班,13830010015,s015@authority.example.test
学生,学生016,S016,高一4班,13830010016,s016@authority.example.test
学生,学生017,S017,高一4班,13830010017,s017@authority.example.test
学生,学生018,S018,高一4班,13830010018,s018@authority.example.test
学生,学生019,S019,高一4班,13830010019,s019@authority.example.test
学生,学生020,S020,高一4班,13830010020,s020@authority.example.test
学生,仅权威学生021,S021,高二1班,13830010021,s021@authority.example.test
学生,仅权威学生022,S022,高二1班,13830010022,s022@authority.example.test
学生,仅权威学生023,S023,高二1班,13830010023,s023@authority.example.test
学生,仅权威学生024,S024,高二2班,13830010024,s024@authority.example.test
学生,仅权威学生025,S025,高二2班,13830010025,s025@authority.example.test
学生,仅权威学生026,S026,高二2班,13830010026,s026@authority.example.test
教师,仅权威教师021,T021,,13820010021,t021@authority.example.test
教师,仅权威教师022,T022,,13820010022,t022@authority.example.test
教师,仅权威教师023,T023,,13820010023,t023@authority.example.test
部门,仅权威部门,D011,,13810010011,dept011@authority.example.test
