entity_type,id,name,parent_id,grade,class_name,subject,phone,email,extra
部门,D01,教务处,,,,,,,
部门,D02,德育处,,,,,,,
部门,D03,总务处,,,,,,,
部门,D04,高一年级组,D01,,,,,,
部门,D05,高二年级组,D01,,,,,,
部门,D06,高三年级组,D01,,,,,,
班级,C01,2024级1班,,高一,2024级1班,,,,
班级,C02,2024级2班,,高一,2024级2班,,,,
班级,C03,高一(3)班,,高一,高一(3)班,,,,
班级,C04,高一(4)班,,高一,高一(4)班,,,,
班级,C05,高一(5)班,,高一,高一(5)班,,,,
班级,C06,高二(1)班,,高二,高二(1)班,,,,
班级,C07,高二(2)班,,高二,高二(2)班,,,,
班级,C08,高二(3)班,,高二,高二(3)班,,,,
班级,C09,高二(4)班,,高二,高二(4)班,,,,
班级,C10,高二(5)班,,高二,高二(5)班,,,,
班级,C11,高三(1)班,,高三,高三(1)班,,,,
班级,C12,高三(2)班,,高三,高三(2)班,,,,
班级,C13,高三(3)班,,高三,高三(3)班,,,,
班级,C14,高三(4)班,,高三,高三(4)班,,,,
班级,C15,高三(5)班,,高三,高三(5)班,,,,
教师,T001,高秀英,D02,,,美术,17332181960,高秀英@example.com,
教师,T002,刘艳,D01,,,物理,15890838637,刘艳@example.com,
教师,T003,毛海燕,D01,,,语文,15654235116,毛海燕@example.com,
教师,T004,胡海霞,D01,,,生物,19407816184,胡海霞@example.com,
教师,T005,史秀芳,D02,,,体育,15103413164,史秀芳@example.com,
教师,T006,任秀芳,D01,,,英语,17534192832,任秀芳@example.com,
教师,T007,姜桂珍,D02,,,化学,19350305641,姜桂珍@example.com,
教师,T008,于海涛,D02,,,物理,18672423884,于海涛@example.com,
教师,T009,康玉珍,D03,,,体育,18532871012,康玉珍@example.com,
教师,T010,顾刚,D03,,,音乐,18916697848,顾刚@example.com,
教师,T011,王涛,D03,,,音乐,19451462704,王涛@example.com,
教师,T012,谭涛,D03,,,地理,13489325288,谭涛@example.com,
教师,T013,邱秀珍,D05,,,历史,13154303911,邱秀珍@example.com,
教师,T014,常志文,D04,,,数学,19227824896,常志文@example.com,
教师,T015,陆文,D05,,,美术,17657871331,陆文@example.com,
教师,T016,蔡娜,D05,,,体育,19393010310,蔡娜@example.com,
教师,T017,吴鑫,D06,,,化学,18382997376,吴鑫@example.com,
